target,pharm_action,gene,uniprot_id,drugbank_id
Mast/stem cell growth factor receptor Kit,Unknown,KIT,P10721,DB12147
Vascular endothelial growth factor receptor 2,Unknown,KDR,P35968,DB12147
Tubulin alpha-1A chain,Yes,TUBA1A,Q71U36,DB00643
Tubulin beta-4B chain,Yes,TUBB4B,P68371,DB00643
Cannabinoid receptor 1,Yes,CNR1,P21554,DB00470
Cannabinoid receptor 2,Yes,CNR2,P34972,DB00470
Prostaglandin G/H synthase 1,Yes,PTGS1,P23219,DB09216
Prostaglandin G/H synthase 2,Yes,PTGS2,P35354,DB09216
ATP-binding cassette sub-family C member 8,Yes,ABCC8,Q09428,DB00912
Peroxisome proliferator-activated receptor gamma,Unknown,PPARG,P37231,DB00912
Histamine H1 receptor,Yes,HRH1,P35367,DB00912
Sodium-dependent noradrenaline transporter,Yes,SLC6A2,P23975,DB01151
Sodium-dependent serotonin transporter,Yes,SLC6A4,P31645,DB01151
5-hydroxytryptamine receptor 2A,Yes,HTR2A,P28223,DB01151
Beta-2 adrenergic receptor,Unknown,ADRB2,P07550,DB01151
Beta-1 adrenergic receptor,Unknown,ADRB1,P08588,DB01151
Sphingomyelin phosphodiesterase,Unknown,SMPD1,P17405,DB01151
Histamine H1 receptor,No,HRH1,P35367,DB01151
Alpha-1 adrenergic receptors (Protein Group),No,,,DB01151
Muscarinic acetylcholine receptor M1,No,CHRM1,P11229,DB01151
Muscarinic acetylcholine receptor M2,No,CHRM2,P08172,DB01151
Muscarinic acetylcholine receptor M3,No,CHRM3,P20309,DB01151
Muscarinic acetylcholine receptor M4,No,CHRM4,P08173,DB01151
Muscarinic acetylcholine receptor M5,No,CHRM5,P08912,DB01151
5-hydroxytryptamine receptor 1A,Unknown,HTR1A,P08908,DB01151
5-hydroxytryptamine receptor 2C,Unknown,HTR2C,P28335,DB01151
Dopamine D2 receptor,Unknown,DRD2,P14416,DB01151
Alpha-2 adrenergic receptors (Protein Group),Unknown,,,DB01151
Apoptosis regulator Bcl-2,Yes,BCL2,P10415,DB12340
Bcl-2-like protein 2,Unknown,BCL2L2,Q92843,DB12340
Bcl2 antagonist of cell death,Unknown,BAD,Q92934,DB12340
Dopamine D2 receptor,Yes,DRD2,P14416,DB00850
Dopamine D1 receptor,Yes,DRD1,P21728,DB00850
Calmodulin,Unknown,CALM1,P0DP23,DB00850
Neuronal acetylcholine receptor subunit alpha-4,Yes,CHRNA4,P43681,DB00184
Neuronal acetylcholine receptor subunit alpha-7,Yes,CHRNA7,P36544,DB00184
Neuronal acetylcholine receptor subunit beta-2,Yes,CHRNB2,P17787,DB00184
Neuronal acetylcholine receptor subunit alpha-2,Unknown,CHRNA2,Q15822,DB00184
Neuronal acetylcholine receptor subunit alpha-3,Unknown,CHRNA3,P32297,DB00184
Neuronal acetylcholine receptor subunit alpha-5,Unknown,CHRNA5,P30532,DB00184
Neuronal acetylcholine receptor subunit alpha-6,Unknown,CHRNA6,Q15825,DB00184
Neuronal acetylcholine receptor subunit alpha-9,Unknown,CHRNA9,Q9UGM1,DB00184
Neuronal acetylcholine receptor subunit alpha-10,Unknown,CHRNA10,Q9GZZ6,DB00184
Neuronal acetylcholine receptor subunit beta-3,Unknown,CHRNB3,Q05901,DB00184
Neuronal acetylcholine receptor subunit beta-4,Unknown,CHRNB4,P30926,DB00184
Cytochrome P450 19A1,Unknown,CYP19A1,P11511,DB00184
Choline O-acetyltransferase,Unknown,CHAT,P28329,DB00184
Retinoic acid receptor alpha,Yes,RARA,P10276,DB00755
Retinoic acid receptor beta,Yes,RARB,P10826,DB00755
Retinoic acid receptor gamma,Yes,RARG,P13631,DB00755
Retinoic acid receptor RXR-alpha,Unknown,RXRA,P19793,DB00755
Retinoic acid receptor RXR-beta,Yes,RXRB,P28702,DB00755
Retinoic acid receptor RXR-gamma,Yes,RXRG,P48443,DB00755
Cellular retinoic acid-binding protein 1,Unknown,CRABP1,P29762,DB00755
Retinoic acid receptor responder protein 1,Unknown,RARRES1,P49788,DB00755
Retinal dehydrogenase 1,Unknown,ALDH1A1,P00352,DB00755
Retinal dehydrogenase 2,Unknown,ALDH1A2,O94788,DB00755
Retinoic acid-induced protein 3,Unknown,GPRC5A,Q8NFJ5,DB00755
Lipocalin-1,Unknown,LCN1,P31025,DB00755
Odorant-binding protein 2a,Unknown,OBP2A,Q9NY56,DB00755
Retinol-binding protein 4,Unknown,RBP4,P02753,DB00755
"[Pyruvate dehydrogenase [lipoamide]] kinase isozyme 4, mitochondrial",Unknown,PDK4,Q16654,DB00755
Carcinoembryonic antigen,Unknown,Not Available,Q14081,DB00755
DNA,Yes,,,DB00352
Calcium signal-modulating cyclophilin ligand,Yes,CAMLG,P49069,DB00091
Calcineurin subunit B type 2,Yes,PPP3R2,Q96LZ3,DB00091
Peptidyl-prolyl cis-trans isomerase A,Yes,PPIA,P62937,DB00091
"Peptidyl-prolyl cis-trans isomerase F, mitochondrial",Yes,PPIF,P30405,DB00091
Alpha-1A adrenergic receptor,Yes,ADRA1A,P35348,DB00668
Alpha-1B adrenergic receptor,Yes,ADRA1B,P35368,DB00668
Beta-1 adrenergic receptor,Yes,ADRB1,P08588,DB00668
Beta-2 adrenergic receptor,Yes,ADRB2,P07550,DB00668
Alpha-2A adrenergic receptor,Yes,ADRA2A,P08913,DB00668
Alpha-2B adrenergic receptor,Yes,ADRA2B,P18089,DB00668
Alpha-1D adrenergic receptor,Unknown,ADRA1D,P25100,DB00668
Tumor necrosis factor,Unknown,TNF,P01375,DB00668
Acetylcholinesterase,Unknown,ACHE,P22303,DB08167
"Bacterial regulatory protein, TetR family",Unknown,Not Available,Q8NMG3,DB08167
Histone deacetylase (Protein Group),Yes,,,DB05015
Dopamine D2 receptor,Yes,DRD2,P14416,DB01186
Dopamine D3 receptor,Yes,DRD3,P35462,DB01186
Dopamine D4 receptor,Yes,DRD4,P21917,DB01186
Dopamine D5 receptor,Yes,DRD5,P21918,DB01186
Dopamine D1 receptor,Yes,DRD1,P21728,DB01186
5-hydroxytryptamine receptor 1A,Unknown,HTR1A,P08908,DB01186
5-hydroxytryptamine receptor 2B,Unknown,HTR2B,P41595,DB01186
5-hydroxytryptamine receptor 2A,Unknown,HTR2A,P28223,DB01186
5-hydroxytryptamine receptor 1D,Unknown,HTR1D,P28221,DB01186
Alpha-2 adrenergic receptors (Protein Group),Unknown,,,DB01186
5-hydroxytryptamine receptor 1B,Unknown,HTR1B,P28222,DB01186
5-hydroxytryptamine receptor 2C,Unknown,HTR2C,P28335,DB01186
Alpha-1A adrenergic receptor,Unknown,ADRA1A,P35348,DB01186
Alpha-1B adrenergic receptor,Unknown,ADRA1B,P35368,DB01186
Alpha-1D adrenergic receptor,Unknown,ADRA1D,P25100,DB01186
Sodium-dependent noradrenaline transporter,Yes,SLC6A2,P23975,DB00289
Sodium-dependent serotonin transporter,Unknown,SLC6A4,P31645,DB00289
NMDA receptor (Protein Group),Unknown,,,DB00289
G protein-activated inward rectifier potassium channel 1,Unknown,KCNJ3,P48549,DB00289
Kappa-type opioid receptor,Unknown,OPRK1,P41145,DB00289
ALK tyrosine kinase receptor,Yes,ALK,Q9UM73,DB08865
Hepatocyte growth factor receptor,Yes,MET,P08581,DB08865
Proto-oncogene tyrosine-protein kinase ROS,Yes,ROS1,P08922,DB08865
Macrophage-stimulating protein receptor,Yes,MST1R,Q04912,DB08865
Solute carrier family 12 member 1,Yes,SLC12A1,Q13621,DB00903
Sodium/potassium-transporting ATPase subunit alpha-1,Yes,ATP1A1,P05023,DB00903
Lymphoid enhancer-binding factor 1,Unknown,LEF1,Q9UJU2,DB00903
Glutathione S-transferase P,Unknown,GSTP1,P09211,DB00903
Sodium-dependent noradrenaline transporter,Yes,SLC6A2,P23975,DB00579
Sodium-dependent dopamine transporter,Yes,SLC6A3,Q01959,DB00579
Sodium-dependent serotonin transporter,Yes,SLC6A4,P31645,DB00579
Synaptic vesicular amine transporter,Unknown,SLC18A2,Q05940,DB00579
Voltage-dependent T-type calcium channel subunit alpha-1G,Yes,CACNA1G,O43497,DB01388
Voltage-dependent T-type calcium channel subunit alpha-1H,Yes,CACNA1H,O95180,DB01388
Voltage-dependent L-type calcium channel subunit alpha-1C,Yes,CACNA1C,Q13936,DB01388
Voltage-dependent L-type calcium channel subunit alpha-1D,Yes,CACNA1D,Q01668,DB01388
Voltage-dependent L-type calcium channel subunit alpha-1F,Yes,CACNA1F,O60840,DB01388
Voltage-dependent T-type calcium channel subunit alpha-1I,Yes,CACNA1I,Q9P0X4,DB01388
Voltage-dependent L-type calcium channel subunit alpha-1S,Yes,CACNA1S,Q13698,DB01388
Voltage-dependent L-type calcium channel subunit beta-1,Yes,CACNB1,Q02641,DB01388
Voltage-dependent L-type calcium channel subunit beta-2,Yes,CACNB2,Q08289,DB01388
Voltage-dependent L-type calcium channel subunit beta-3,Yes,CACNB3,P54284,DB01388
Voltage-dependent L-type calcium channel subunit beta-4,Yes,CACNB4,O00305,DB01388
Sodium-dependent serotonin transporter,Yes,SLC6A4,P31645,DB01104
Sodium-dependent dopamine transporter,Unknown,SLC6A3,Q01959,DB01104
Sigma receptor (Protein Group),Unknown,,,DB01104
Sodium-dependent noradrenaline transporter,Unknown,SLC6A2,P23975,DB01104
Equilibrative nucleoside transporter 4,Unknown,SLC29A4,Q7RTT9,DB01104
Glutathione synthetase,Yes,GSS,P48637,DB06151
Cystine/glutamate transporter,Yes,SLC7A11,Q9UPY5,DB06151
NAPQI (N-acetyl-p-benzoquinone imine),Unknown,,,DB06151
Aminoacylase-1,Unknown,ACY1,Q03154,DB06151
Inhibitor of nuclear factor kappa-B kinase subunit beta,Unknown,IKBKB,O14920,DB06151
Inhibitor of nuclear factor kappa-B kinase subunit alpha,Unknown,CHUK,O15111,DB06151
"Glutamate receptor ionotropic, NMDA 2B",Unknown,GRIN2B,Q13224,DB06151
"Glutamate receptor ionotropic, NMDA 1",Unknown,GRIN1,Q05586,DB06151
"Glutamate receptor ionotropic, NMDA 2A",Unknown,GRIN2A,Q12879,DB06151
"Glutamate receptor ionotropic, NMDA 2D",Unknown,GRIN2D,O15399,DB06151
"Glutamate receptor ionotropic, NMDA 3A",Unknown,GRIN3A,Q8TCU5,DB06151
Muscarinic acetylcholine receptor M1,Yes,CHRM1,P11229,DB00670
Transient receptor potential cation channel subfamily V member 1,Yes,TRPV1,Q8NER1,DB06774
Prohibitin-2,Unknown,PHB2,Q99623,DB06774
Glutathione S-transferase A2,Unknown,GSTA2,P09210,DB00608
Tumor necrosis factor,Unknown,TNF,P01375,DB00608
Toll-like receptor 9,Unknown,TLR9,Q9NR96,DB00608
Glutathione S-transferase,Unknown,GST,Q8ILQ7,DB00608
High mobility group protein B1,Unknown,HMGB1,P09429,DB00608
Glutathione S-transferase Mu 1,Unknown,GSTM1,P09488,DB00608
Angiotensin-converting enzyme 2,Unknown,ACE2,Q9BYF1,DB00608
Vascular endothelial growth factor receptor 1,Yes,FLT1,P17948,DB06589
Vascular endothelial growth factor receptor 2,Yes,KDR,P35968,DB06589
Vascular endothelial growth factor receptor 3,Yes,FLT4,P35916,DB06589
Platelet-derived growth factor receptor alpha,Yes,PDGFRA,P16234,DB06589
Platelet-derived growth factor receptor beta,Yes,PDGFRB,P09619,DB06589
Mast/stem cell growth factor receptor Kit,Yes,KIT,P10721,DB06589
Fibroblast growth factor receptor 3,Unknown,FGFR3,P22607,DB06589
Tyrosine-protein kinase ITK/TSK,Unknown,ITK,Q08881,DB06589
Fibroblast growth factor 1,Unknown,FGF1,P05230,DB06589
SH2B adapter protein 3,Unknown,SH2B3,Q9UQQ2,DB06589
Glucocorticoid receptor,Yes,NR3C1,P04150,DB00741
Annexin A1,Yes,ANXA1,P04083,DB00741
Beta-1 adrenergic receptor,Yes,ADRB1,P08588,DB01064
Beta-2 adrenergic receptor,Yes,ADRB2,P07550,DB01064
Beta-3 adrenergic receptor,Yes,ADRB3,P13945,DB01064
Superoxide dismutase [Cu-Zn],Unknown,SOD1,P00441,DB01064
GABA(A) Receptor (Protein Group),Yes,,,DB00829
GABA(A) Receptor Benzodiazepine Binding Site (Protein Group),Yes,,,DB00829
Retinoic acid receptor alpha,Yes,RARA,P10276,DB00523
Retinoic acid receptor RXR-alpha,Yes,RXRA,P19793,DB00523
Retinoic acid receptor beta,Yes,RARB,P10826,DB00523
Retinoic acid receptor RXR-beta,Yes,RXRB,P28702,DB00523
Retinoic acid receptor gamma,Yes,RARG,P13631,DB00523
Retinoic acid receptor RXR-gamma,Yes,RXRG,P48443,DB00523
Insulin-like growth factor-binding protein 3,Unknown,IGFBP3,P17936,DB00523
Pregnancy-specific beta-1-glycoprotein 5,Unknown,PSG5,Q15238,DB00523
Cytochrome P450 26C1,Unknown,CYP26C1,Q6V0L0,DB00523
Acetylcholinesterase,Yes,ACHE,P22303,DB00843
5-hydroxytryptamine receptor 2A,Unknown,HTR2A,P28223,DB00843
Cholinesterase,Unknown,BCHE,P06276,DB00843
"Nitric oxide synthase, brain",Unknown,NOS1,P29475,DB00843
Tumor necrosis factor-inducible gene 6 protein,Unknown,TNFAIP6,P98066,DB00843
Interleukin-1 beta,Unknown,IL1B,P01584,DB00843
Nuclear factor NF-kappa-B (Protein Group),Unknown,,,DB00843
NMDA receptor (Protein Group),Unknown,,,DB00843
Phospholipase A2,Yes,PLA2G1B,P04054,DB04552
Prostaglandin G/H synthase 2,Yes,PTGS2,P35354,DB04552
Chloride channel protein ClC-Ka,Unknown,CLCNKA,P51800,DB04552
Prostaglandin G/H synthase 1,Unknown,PTGS1,P23219,DB04552
Cytosolic phospholipase A2,Unknown,PLA2G4A,P47712,DB04552
UDP-glucuronosyltransferase 1-9,Unknown,UGT1A9,O60656,DB04552
Arachidonate 5-lipoxygenase,Yes,ALOX5,P09917,DB00179
Sex hormone-binding globulin,Unknown,SHBG,P04278,DB00179
Transient receptor potential cation channel subfamily M member 7,Yes,TRPM7,Q96QT4,DB00179
Beta-1 adrenergic receptor,Unknown,ADRB1,P08588,DB03566
Beta-2 adrenergic receptor,Unknown,ADRB2,P07550,DB03566
"Thioredoxin reductase 1, cytoplasmic",Unknown,TXNRD1,Q16881,DB03566
Gentamicin 3'-acetyltransferase,Unknown,aacC1,P23181,DB03566
Spermidine/putrescine-binding periplasmic protein,Unknown,potD,P0AFK9,DB03566
Solute carrier family 12 member 3,Yes,SLC12A3,P55017,DB00808
"Cytochrome P450 11B1, mitochondrial",Yes,CYP11B1,P15538,DB01011
Camphor 5-monooxygenase,Unknown,camC,P00183,DB01011
Insulin-like growth factor 1 receptor,Unknown,IGF1R,P08069,DB15399
Insulin receptor,Unknown,INSR,P06213,DB15399
Mu-type opioid receptor,Yes,OPRM1,P35372,DB14881
Ceramide glucosyltransferase,Yes,UGCG,Q16739,DB00419
Gamma-aminobutyric acid receptor subunit alpha-1,Unknown,GABRA1,P14867,DB12458
Gamma-aminobutyric acid receptor subunit beta-3,Unknown,GABRB3,P28472,DB12458
Gamma-aminobutyric acid receptor subunit gamma-2,Unknown,GABRG2,P18507,DB12458
Vascular endothelial growth factor A,Unknown,VEGFA,P15692,DB05294
Epidermal growth factor receptor,Unknown,EGFR,P00533,DB05294
Protein-tyrosine kinase 6,Unknown,PTK6,Q13882,DB05294
Angiopoietin-1 receptor,Unknown,TEK,Q02763,DB05294
Proto-oncogene tyrosine-protein kinase receptor Ret,Unknown,RET,P07949,DB05294
Dopamine D3 receptor,Yes,DRD3,P35462,DB01184
Dopamine D2 receptor,Yes,DRD2,P14416,DB01184
Sodium channel protein type 5 subunit alpha,Yes,SCN5A,Q14524,DB00908
Potassium channel subfamily K member 1,Unknown,KCNK1,O00180,DB00908
Potassium channel subfamily K member 6,Unknown,KCNK6,Q9Y257,DB00908
Potassium voltage-gated channel subfamily H member 2,Unknown,KCNH2,Q12809,DB00908
Alpha-1A adrenergic receptor,Unknown,ADRA1A,P35348,DB00908
Alpha-1B adrenergic receptor,Unknown,ADRA1B,P35368,DB00908
Alpha-1D adrenergic receptor,Unknown,ADRA1D,P25100,DB00908
"Glutamate receptor ionotropic, NMDA 3A",Yes,GRIN3A,Q8TCU5,DB01221
5-hydroxytryptamine receptor 3A,Yes,HTR3A,P46098,DB01221
Alpha-7 nicotinic cholinergic receptor subunit,Yes,CHRNA7,Q693P7,DB01221
Cholinesterase,Yes,BCHE,P06276,DB01221
"Nitric oxide synthase, brain",Yes,NOS1,P29475,DB01221
Neurokinin 1 receptor,Unknown,TACR1,P25103,DB01221
Dopamine D2 receptor,Unknown,DRD2,P14416,DB01221
Delta-type opioid receptor,Unknown,OPRD1,P41143,DB01221
Sodium-dependent noradrenaline transporter,Unknown,SLC6A2,P23975,DB01221
Kappa-type opioid receptor,Unknown,OPRK1,P41145,DB01221
Mu-type opioid receptor,Unknown,OPRM1,P35372,DB01221
Muscarinic acetylcholine receptor (Protein Group),Unknown,,,DB01221
5-hydroxytryptamine receptor 2 (Protein Group),Unknown,,,DB01221
5-hydroxytryptamine receptor 1 (Protein Group),Unknown,,,DB01221
Amine oxidase [flavin-containing] B,Yes,MAOB,P27338,DB01367
Apoptosis regulator Bcl-2,Yes,BCL2,P10415,DB01367
Endoplasmin,Unknown,HSP90B1,P14625,DB02424
Heat shock protein HSP 90-alpha,Unknown,HSP90AA1,P07900,DB02424
Heat shock protein HSP 90-beta,Unknown,HSP90AB1,P08238,DB02424
Orexin receptor type 1,Yes,HCRTR1,O43613,DB09034
Orexin receptor type 2,Yes,HCRTR2,O43614,DB09034
Histone deacetylase 1,Unknown,HDAC1,Q13547,DB05223
Histone deacetylase 2,Unknown,HDAC2,Q92769,DB05223
Histone deacetylase 3,Unknown,HDAC3,O15379,DB05223
Histone deacetylase 6,Unknown,HDAC6,Q9UBN7,DB05223
Annexin A1,Yes,ANXA1,P04083,DB14539
Glucocorticoid receptor,Yes,NR3C1,P04150,DB14539
Corticosteroid 11-beta-dehydrogenase isozyme 2,Unknown,HSD11B2,P80365,DB14539
3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 1,Unknown,HSD3B1,P14060,DB14539
Muscarinic acetylcholine receptor M1,Unknown,CHRM1,P11229,DB03128
Muscarinic acetylcholine receptor M2,Unknown,CHRM2,P08172,DB03128
Muscarinic acetylcholine receptor M3,Unknown,CHRM3,P20309,DB03128
Muscarinic acetylcholine receptor M4,Unknown,CHRM4,P08173,DB03128
Neuronal acetylcholine receptor subunit alpha-7,Unknown,CHRNA7,P36544,DB03128
DNA,Yes,,,DB00851
DNA polymerase alpha subunit B,Unknown,POLA2,Q14181,DB00851
"6-phosphogluconate dehydrogenase, decarboxylating",Unknown,PGD,P52209,DB00851
DNA polymerase catalytic subunit,Yes,Not Available,P04293,DB01004
DNA,Yes,,,DB01004
Thymidine kinase,Yes,TK,Q9QNF7,DB01004
Histamine H1 receptor,Yes,HRH1,P35367,DB00920
"6-phosphogluconate dehydrogenase, decarboxylating",Unknown,PGD,P52209,DB00920
Coagulation factor X,Yes,F10,P00742,DB12364
Synaptic vesicular amine transporter,Yes,SLC18A2,Q05940,DB01576
Sodium-dependent noradrenaline transporter,Yes,SLC6A2,P23975,DB01576
Sodium-dependent dopamine transporter,Yes,SLC6A3,Q01959,DB01576
Trace amine-associated receptor 1,Unknown,TAAR1,Q96RJ0,DB01576
Alpha-1B adrenergic receptor,Unknown,ADRA1B,P35368,DB01576
Alpha adrenergic receptor (Protein Group),Unknown,,,DB01576
Vasopressin V2 receptor,Yes,AVPR2,P30518,DB00035
Vasopressin V1a receptor,Yes,AVPR1A,P37288,DB00035
Vasopressin V1b receptor,Yes,AVPR1B,P47901,DB00035
Dopamine D2 receptor,Unknown,DRD2,P14416,DB12518
Mu-type opioid receptor,Yes,OPRM1,P35372,DB11691
Delta-type opioid receptor,Yes,OPRD1,P41143,DB11691
Kappa-type opioid receptor,Yes,OPRK1,P41145,DB11691
Solute carrier family 12 member 3,Yes,SLC12A3,P55017,DB00999
Calcium-activated potassium channel subunit alpha-1,Yes,KCNMA1,Q12791,DB00999
Gamma-aminobutyric acid type B receptor subunit 2,Yes,GABBR2,O75899,DB00181
C-X-C chemokine receptor type 4,Unknown,CXCR4,P61073,DB00181
Gamma-aminobutyric acid type B receptor subunit 1,Unknown,GABBR1,Q9UBS5,DB00181
Dopamine D2 receptor,Yes,DRD2,P14416,DB06144
5-hydroxytryptamine receptor 2A,Yes,HTR2A,P28223,DB06144
5-hydroxytryptamine receptor 2C,Yes,HTR2C,P28335,DB06144
5-hydroxytryptamine receptor 6,Yes,HTR6,P50406,DB06144
Potassium voltage-gated channel subfamily H member 2,Unknown,KCNH2,Q12809,DB06144
Alpha-1A adrenergic receptor,Unknown,ADRA1A,P35348,DB06144
Alpha-1B adrenergic receptor,Unknown,ADRA1B,P35368,DB06144
Alpha-1D adrenergic receptor,Unknown,ADRA1D,P25100,DB06144
Gamma-aminobutyric acid receptor subunit alpha-1,Yes,GABRA1,P14867,DB00425
Gamma-aminobutyric acid receptor subunit alpha-2,Unknown,GABRA2,P47869,DB00425
Gamma-aminobutyric acid receptor subunit alpha-3,Unknown,GABRA3,P34903,DB00425
Gamma-aminobutyric acid receptor subunit gamma-2,Unknown,GABRG2,P18507,DB00425
Histamine H1 receptor,Yes,HRH1,P35367,DB01142
Histamine H2 receptor,Yes,HRH2,P25021,DB01142
Sodium-dependent noradrenaline transporter,Yes,SLC6A2,P23975,DB01142
Sodium-dependent serotonin transporter,Yes,SLC6A4,P31645,DB01142
5-hydroxytryptamine receptor 2A,Unknown,HTR2A,P28223,DB01142
5-hydroxytryptamine receptor 2B,Unknown,HTR2B,P41595,DB01142
5-hydroxytryptamine receptor 2C,Unknown,HTR2C,P28335,DB01142
Muscarinic acetylcholine receptor M1,Unknown,CHRM1,P11229,DB01142
Muscarinic acetylcholine receptor M2,Unknown,CHRM2,P08172,DB01142
Muscarinic acetylcholine receptor M3,Unknown,CHRM3,P20309,DB01142
Muscarinic acetylcholine receptor M4,Unknown,CHRM4,P08173,DB01142
Muscarinic acetylcholine receptor M5,Unknown,CHRM5,P08912,DB01142
Alpha-1A adrenergic receptor,Unknown,ADRA1A,P35348,DB01142
Alpha-1B adrenergic receptor,Unknown,ADRA1B,P35368,DB01142
Alpha-1D adrenergic receptor,Unknown,ADRA1D,P25100,DB01142
5-hydroxytryptamine receptor 1A,Unknown,HTR1A,P08908,DB01142
5-hydroxytryptamine receptor 6,Unknown,HTR6,P50406,DB01142
Histamine H4 receptor,Unknown,HRH4,Q9H3N8,DB01142
Potassium voltage-gated channel subfamily H member 2,Unknown,KCNH2,Q12809,DB01142
Gamma-aminobutyric acid type B receptor subunit 1,Yes,GABBR1,Q9UBS5,DB08891
Gamma-aminobutyric acid type B receptor subunit 2,Yes,GABBR2,O75899,DB08891
Aurora kinase B,Yes,AURKB,Q96GD4,DB12756
Apoptosis regulator BAX,Unknown,BAX,Q07812,DB12756
Nuclear receptor subfamily 1 group I member 2,Unknown,NR1I2,O75469,DB05928
5-hydroxytryptamine receptor 3A,Yes,HTR3A,P46098,DB00969
Heat shock protein HSP 90-alpha,Unknown,HSP90AA1,P07900,DB05134
Heat shock protein HSP 90-beta,Unknown,HSP90AB1,P08238,DB05134
Sphingosine 1-phosphate receptor 1,Yes,S1PR1,P21453,DB12612
Sphingosine 1-phosphate receptor 5,Yes,S1PR5,Q9H228,DB12612
Prostaglandin G/H synthase 2,Yes,PTGS2,P35354,DB00316
Prostaglandin G/H synthase 1,Yes,PTGS1,P23219,DB00316
Prostaglandin E synthase 3,Unknown,PTGES3,Q15185,DB00316
Transient receptor potential cation channel subfamily V member 1,Unknown,TRPV1,Q8NER1,DB00316
Kappa-type opioid receptor,Yes,OPRK1,P41145,DB00844
Mu-type opioid receptor,Yes,OPRM1,P35372,DB00844
Delta-type opioid receptor,Yes,OPRD1,P41143,DB00844
Potassium voltage-gated channel subfamily KQT member 2,Unknown,KCNQ2,O43526,DB04953
Potassium voltage-gated channel subfamily KQT member 3,Unknown,KCNQ3,O43525,DB04953
Potassium voltage-gated channel subfamily KQT member 4,Unknown,KCNQ4,P56696,DB04953
Potassium voltage-gated channel subfamily KQT member 5,Unknown,KCNQ5,Q9NR82,DB04953
Beta-2 adrenergic receptor,Yes,ADRB2,P07550,DB00983
Beta-1 adrenergic receptor,Unknown,ADRB1,P08588,DB00983
Beta-3 adrenergic receptor,Unknown,ADRB3,P13945,DB00983
Amine oxidase [flavin-containing] B,Unknown,MAOB,P27338,DB04820
Amine oxidase [flavin-containing] A,Unknown,MAOA,P21397,DB04820
Catechol O-methyltransferase,Unknown,COMT,P21964,DB04820
Dopamine D1 receptor,Unknown,DRD1,P21728,DB12093
Dopamine D2 receptor,Unknown,DRD2,P14416,DB12093
Estrogen receptor alpha,Yes,ESR1,P03372,DB06202
Estrogen receptor beta,Yes,ESR2,Q92731,DB06202
Cannabinoid receptor 2,Unknown,CNR2,P34972,DB06202
5-hydroxytryptamine receptor 2A,Unknown,HTR2A,P28223,DB12465
Amiloride-sensitive sodium channel subunit gamma,Yes,SCNN1G,P51170,DB00384
Amiloride-sensitive sodium channel subunit alpha,Yes,SCNN1A,P37088,DB00384
Amiloride-sensitive sodium channel subunit beta,Yes,SCNN1B,P51168,DB00384
Amiloride-sensitive sodium channel subunit delta,Unknown,SCNN1D,P51172,DB00384
Sodium-dependent noradrenaline transporter,Yes,SLC6A2,P23975,DB00934
Histamine H1 receptor,No,HRH1,P35367,DB00934
Muscarinic acetylcholine receptor M1,No,CHRM1,P11229,DB00934
Muscarinic acetylcholine receptor M2,No,CHRM2,P08172,DB00934
Muscarinic acetylcholine receptor M3,No,CHRM3,P20309,DB00934
Muscarinic acetylcholine receptor M4,No,CHRM4,P08173,DB00934
Muscarinic acetylcholine receptor M5,No,CHRM5,P08912,DB00934
Alpha-1 adrenergic receptors (Protein Group),No,,,DB00934
5-hydroxytryptamine receptor 2A,Unknown,HTR2A,P28223,DB00934
5-hydroxytryptamine receptor 2C,Unknown,HTR2C,P28335,DB00934
5-hydroxytryptamine receptor 7,Unknown,HTR7,P34969,DB00934
Dopamine D2 receptor,Unknown,DRD2,P14416,DB00934
Alpha-2 adrenergic receptors (Protein Group),Unknown,,,DB00934
Alpha-1A adrenergic receptor,Yes,ADRA1A,P35348,DB00368
Alpha-1B adrenergic receptor,Yes,ADRA1B,P35368,DB00368
Alpha-1D adrenergic receptor,Yes,ADRA1D,P25100,DB00368
Alpha-2A adrenergic receptor,Yes,ADRA2A,P08913,DB00368
Alpha-2B adrenergic receptor,Yes,ADRA2B,P18089,DB00368
Alpha-2C adrenergic receptor,Yes,ADRA2C,P18825,DB00368
Beta-1 adrenergic receptor,Yes,ADRB1,P08588,DB00368
Beta-2 adrenergic receptor,Yes,ADRB2,P07550,DB00368
Beta-3 adrenergic receptor,Yes,ADRB3,P13945,DB00368
Phenylalanine-4-hydroxylase,No,PAH,P00439,DB00368
Synaptic vesicular amine transporter,Unknown,SLC18A2,Q05940,DB00368
Chromaffin granule amine transporter,Unknown,SLC18A1,P54219,DB00368
Neuronal acetylcholine receptor subunit alpha-2,Yes,CHRNA2,Q15822,DB00657
Neuronal acetylcholine receptor subunit alpha-7,Unknown,CHRNA7,P36544,DB00657
Neuronal acetylcholine receptor subunit alpha-4,Unknown,CHRNA4,P43681,DB00657
Neuronal acetylcholine receptor subunit beta-2,Unknown,CHRNB2,P17787,DB00657
Penicillin-binding protein 1A,Yes,mrcA,P02918,DB01327
Penicillin-binding protein 1B,Yes,mrcB,P02919,DB01327
Penicillin-binding protein 1C,Yes,pbpC,P76577,DB01327
Penicillin-binding protein 2,Yes,mrdA,P0AD65,DB01327
Peptidoglycan synthase FtsI,Yes,ftsI,P0AD68,DB01327
